latitude,longitude,Emissions
29.202805,-82.0431,"784,850"
27.083604,-80.398201,"380,940"
25.61058,-80.499137,"5,624,096"
25.615457,-81.189971,"200,416"
30.605926,-81.764929,"203,641"
30.665851,-86.594187,"484,357"
27.385592,-80.887388,"86,791"
28.514435,-81.323295,"2,872,211"
28.059027,-81.139312,"638,000"
26.649124,-80.448374,"3,574,650"
28.307465,-82.464584,"1,127,915"
27.903122,-82.739518,"2,324,608"
27.953115,-81.692783,"1,483,746"
29.606006,-81.740894,"159,315"
29.890644,-81.383948,"541,630"
27.379812,-80.443537,"723,851"
30.701838,-87.012762,"443,524"
27.184386,-82.365835,"1,002,122"
28.690092,-81.131989,"1,092,462"
28.71431,-82.074703,"244,257"
30.189244,-82.992754,"112,097"
30.009908,-83.609483,"51,112"
30.05428,-82.366918,"27,561"
29.057769,-81.161792,"1,304,608"
30.140358,-84.375112,"76,362"
30.631211,-86.176614,"167,845"
30.602217,-85.662797,"59,305"
31.739712,-82.290103,"54,025"
31.296861,-82.878199,"21,292"
31.55021,-82.451433,"29,975"
31.31958,-84.454881,"11,118"
33.05949,-83.255457,"112,636"
34.351922,-83.498441,"49,187"
33.992009,-83.712303,"181,503"
34.240917,-84.838188,"274,288"
31.740775,-83.14719,"47,218"
31.288652,-83.22787,"56,434"
32.808844,-83.694193,"398,862"
32.435403,-83.331717,"32,795"
31.197334,-81.982978,"51,205"
30.822934,-83.581905,"50,483"
32.017969,-81.438543,"95,535"
32.391711,-81.744021,"189,684"
33.050819,-82.011571,"67,200"
33.290355,-83.958221,"58,409"
31.521279,-84.62629,"15,332"
30.913347,-81.642001,"138,046"
32.403851,-82.071236,"33,115"
33.582237,-85.080527,"279,790"
34.900218,-85.139386,"203,172"
30.779904,-82.139644,"27,254"
31.98041,-81.085196,"728,117"
32.347445,-84.788021,"16,770"
34.474178,-85.345289,"66,887"
34.244317,-84.475057,"511,146"
33.952185,-83.367152,"259,216"
31.619831,-84.992583,"8,656"
33.542686,-84.355573,"561,647"
30.917653,-82.702614,"19,526"
33.93994,-84.574166,"1,638,887"
31.549245,-82.844938,"108,730"
31.189758,-83.769741,"127,045"
33.547631,-82.252296,"355,993"
31.152528,-83.429438,"48,234"
33.352897,-84.762138,"344,984"
32.709428,-83.979187,"36,085"
31.915149,-83.753531,"68,051"
34.852424,-85.506201,"45,647"
34.442842,-84.173284,"58,528"
30.880655,-84.584144,"87,421"
33.770661,-84.226343,"1,537,832"
32.160235,-83.156241,"64,630"
32.151995,-83.807167,"39,397"
31.532588,-84.20904,"268,273"
33.699317,-84.765944,"310,389"
31.324191,-84.906723,"34,487"
30.7085,-82.836132,"11,498"
32.361711,-81.343337,"152,789"
34.116455,-82.841834,"54,403"
32.5911,-82.299763,"64,620"
32.153083,-81.890153,"32,044"
34.866543,-84.317331,"65,688"
33.412717,-84.493941,"270,377"
34.263684,-85.213654,"227,925"
34.225143,-84.127435,"449,913"
34.375081,-83.228064,"59,477"
33.790034,-84.468182,"2,221,114"
34.690495,-84.454651,"81,351"
33.227491,-82.606913,"9,007"
31.212746,-81.496517,"233,497"
34.509667,-84.873862,"156,733"
30.875903,-84.245008,"63,264"
33.57674,-83.166613,"51,155"
33.959148,-84.023085,"1,723,188"
34.634392,-83.525875,"108,658"
34.317588,-83.818497,"436,657"
33.26922,-83.000465,"20,982"
33.795165,-85.220062,"77,192"
32.731549,-84.912432,"100,715"
34.348733,-82.96329,"72,795"
33.291347,-85.137879,"34,786"
33.452947,-84.154021,"488,598"
32.458381,-83.662856,"408,422"
31.604306,-83.277037,"25,847"
34.130901,-83.562545,"158,163"
33.318169,-83.690142,"37,823"
31.811615,-82.636825,"43,567"
33.058176,-82.420004,"44,630"
32.794563,-81.971524,"28,943"
32.694584,-82.66397,"24,193"
33.020226,-83.562339,"83,478"
33.07446,-84.146721,"44,762"
31.038197,-83.063164,"28,944"
32.39322,-82.926317,"139,132"
31.818419,-84.146681,"90,024"
31.807458,-81.457871,"159,628"
33.792151,-82.448299,"26,758"
31.749563,-81.74287,"40,866"
30.833127,-83.268992,"269,498"
34.568135,-83.998906,"80,330"
33.482464,-82.473188,"62,384"
31.488592,-81.37246,"39,094"
32.362686,-84.051231,"32,656"
34.128526,-83.203737,"79,343"
32.359538,-84.529561,"22,781"
33.029267,-84.667058,"63,838"
31.162908,-84.730386,"19,553"
31.228997,-84.192038,"69,669"
33.017435,-83.922938,"74,601"
32.172108,-82.533349,"25,262"
33.593474,-83.491049,"50,073"
34.797097,-84.73799,"117,724"
32.510197,-84.874946,"475,564"
33.544021,-83.855185,"248,184"
33.834125,-83.437728,"100,558"
33.866806,-83.074081,"43,252"
33.921026,-84.867162,"340,234"
32.571324,-83.831978,"76,725"
34.456813,-84.490339,"77,787"
31.353988,-82.210427,"55,865"
33.090768,-84.386627,"47,568"
33.996015,-85.188338,"99,551"
32.238794,-83.481855,"27,376"
33.32106,-83.37179,"65,884"
31.862948,-85.004801,"6,975"
34.883949,-83.404859,"45,577"
31.762651,-84.752311,"21,169"
33.361487,-82.074998,"474,229"
33.652081,-84.02637,"194,186"
32.263441,-84.322724,"14,950"
32.744751,-81.617585,"37,735"
30.933894,-84.867592,"29,439"
33.262389,-84.286067,"162,490"
34.552914,-83.290216,"63,889"
32.073225,-84.834912,"12,103"
32.042198,-84.20426,"86,836"
32.704603,-84.530029,"20,765"
33.559319,-82.875272,"5,529"
32.043768,-82.059208,"63,630"
32.554667,-84.251426,"25,415"
31.913639,-82.931062,"39,914"
31.777191,-84.439446,"28,457"
30.864606,-83.91982,"136,274"
31.457003,-83.525931,"109,903"
32.126698,-82.332071,"81,014"
34.902529,-83.732264,"26,740"
32.409586,-82.570882,"20,557"
33.034482,-85.02836,"186,386"
31.7248,-83.620319,"24,498"
32.665847,-83.425879,"21,887"
34.833333,-83.989257,"53,063"
32.881837,-84.292281,"70,116"
34.735827,-85.305385,"207,301"
33.783887,-83.731829,"245,921"
31.050881,-82.421507,"105,578"
33.419169,-82.688012,"15,946"
32.971848,-82.798112,"55,126"
31.547845,-81.912376,"79,764"
32.046691,-84.553828,"8,167"
32.105268,-82.733865,"16,054"
34.643776,-83.743417,"74,645"
34.801726,-84.968541,"300,385"
31.962717,-83.438262,"21,823"
33.779031,-82.747921,"29,509"
32.804266,-83.175512,"25,389"
31.551773,-83.84996,"67,304"
19.597764,-155.502443,"197,268"
21.461365,-158.201974,"1,454,384"
21.218764,-156.97401,135
22.012038,-159.705965,"71,176"
20.855931,-156.60155,"182,211"
43.451477,-116.244376,"474,156"
44.877004,-116.461624,"6,200"
42.692921,-112.228982,"94,207"
42.285892,-111.327517,"7,556"
47.218451,-116.633541,"12,997"
43.216357,-112.399206,"56,787"
43.394192,-113.955371,"29,789"
43.987275,-115.71511,"11,355"
48.324634,-116.627443,"54,748"
43.395171,-111.621878,"128,676"
48.773133,-116.524673,"14,874"
43.685101,-113.177631,"4,208"
43.502733,-114.772066,"1,619"
43.623051,-116.708527,"241,302"
42.786072,-111.544273,"8,118"
42.282313,-113.626328,"31,797"
44.290218,-112.354613,940
46.67257,-115.6535,"12,355"
44.273351,-114.252267,"7,756"
43.394698,-115.471205,"32,725"
42.173609,-111.822965,"13,959"
44.218091,-111.484429,"17,632"
44.061473,-116.398784,"25,010"
42.973185,-114.82142,"23,370"
45.849644,-115.467337,"22,184"
43.796965,-112.318588,"31,327"
42.691395,-114.262086,"31,904"
47.677113,-116.694918,"176,846"
46.81892,-116.730974,"43,012"
44.928506,-113.887042,"13,857"
46.236328,-116.42376,"5,567"
42.986181,-114.153899,"6,968"
43.788614,-111.656993,"31,703"
42.857211,-113.63984,"31,476"
46.333791,-116.760909,"53,164"
42.183895,-112.520449,"5,672"
42.572851,-116.18969,"17,957"
44.00243,-116.750238,"32,861"
42.694126,-112.844407,"9,084"
47.347694,-115.885092,"15,921"
43.760994,-111.211765,"14,275"
42.352309,-114.665639,"101,545"
44.85596,-115.618061,"13,002"
44.448223,-116.797792,"15,194"
39.986052,-91.194961,"217,799"
37.183657,-89.349516,"22,909"
38.885924,-89.436592,"53,071"
42.318983,-88.824295,"88,872"
39.962069,-90.750309,"18,543"
41.401304,-89.528377,"106,678"
39.164262,-90.666295,"18,545"
42.0709,-89.924189,"35,585"
39.969202,-90.245704,"44,603"
40.13898,-88.196996,"581,804"
39.545524,-89.279593,"109,301"
39.332364,-87.791687,"59,945"
38.746832,-88.482344,"49,123"
38.606295,-89.426228,"123,487"
39.51368,-88.220782,"160,701"
41.894294,-87.645455,"8,112,382"
39.002769,-87.760621,"63,737"
39.273121,-88.240619,"36,168"
41.894612,-88.768991,"174,793"
40.181499,-88.901853,"54,466"
39.766078,-88.222866,"60,411"
41.852058,-88.086038,"1,553,557"
39.679037,-87.74711,"61,523"
38.417095,-88.047941,"25,734"
39.047945,-88.592849,"114,881"
